sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,eff_1,eff_2,eff_3,eff_4,eff_5,eff_6,eff_7,firstName,firstNameInitial,familyName,familyNameInitial,internationalFirstName,internationalFirstNameInitial,internationalFamilyName,internationalFamilyNameInitial,scoreboardName,active,playingPosition,shirtNumber,starter,name,photoT,photoS,captain,tno,comp_sMinutesAverage,comp_sPointsAverage,comp_sReboundsTotalAverage,comp_sAssistsAverage
0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeremiah,J,Gray,G,Jeremiah,J,Gray,G,J. Gray,0,F/G,0,0,J. Gray,NA,NA,NA,1,NA,NA,NA,NA
5:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-1,0,0,-1,-0.4,-4,-1,0,0,Jared,J,Dillinger,D,Jared,J,Dillinger,D,J. Dillinger,0,F/G,2,0,J. Dillinger,https://se-img.dcd-production.i.geniussports.com/d122bfe87cb01f8203bc8fd587d05501T1.jpg,https://se-img.dcd-production.i.geniussports.com/d122bfe87cb01f8203bc8fd587d05501S1.jpg,NA,1,NA,NA,NA,NA
36:55,6,11,54,1,4,25,5,7,71,1,2,50,3,5,8,3,4,1,3,0,3,5,14,4,5,-13,8,19,2,12.7,51.5,21,19,19,Jamie,J,Malonzo,M,Jamie,J,Malonzo,M,J. Malonzo,1,,3,1,J. Malonzo,https://se-img.dcd-production.i.geniussports.com/b68eb1b7d725d2486266536d5398df20T1.png,https://se-img.dcd-production.i.geniussports.com/b68eb1b7d725d2486266536d5398df20S1.png,NA,1,NA,NA,NA,NA
26:23,1,7,14,0,6,0,1,1,100,0,0,0,3,0,3,3,2,1,0,0,0,3,2,0,0,-13,2,1,3,-0.5,4,4,1,1,Lewis Alfred,L,Tenorio,T,Lewis Alfred,L,Tenorio,T,L. Tenorio,1,G,5,0,L. Tenorio,https://se-img.dcd-production.i.geniussports.com/ce849114a5e8628c539b614e0ca6b117T1.jpg,https://se-img.dcd-production.i.geniussports.com/ce849114a5e8628c539b614e0ca6b117S1.jpg,1,1,NA,NA,NA,NA
28:34,0,4,0,0,3,0,0,1,0,1,2,50,7,3,10,2,2,0,0,0,2,3,1,1,0,-14,0,6,2,0.6,12,7,6,6,Scottie,S,Thompson,T,Scottie,S,Thompson,T,S. Thompson,0,G,9,1,S. Thompson,https://se-img.dcd-production.i.geniussports.com/62637f05c4b67f263f63729ae13148d0T1.jpg,https://se-img.dcd-production.i.geniussports.com/62637f05c4b67f263f63729ae13148d0S1.jpg,NA,1,NA,NA,NA,NA
21:37,3,6,50,1,2,50,2,4,50,1,1,100,4,0,4,0,2,0,0,0,0,4,8,0,0,-9,4,7,0,4.2,22.5,11,7,7,Stanley Jr.,S,Pringle,P,Stanley Jr.,S,Pringle,P,S. Pringle,0,G,11,1,S. Pringle,https://se-img.dcd-production.i.geniussports.com/82483a1f362565c9acac6669dcc94338T1.jpg,https://se-img.dcd-production.i.geniussports.com/82483a1f362565c9acac6669dcc94338S1.jpg,NA,1,NA,NA,NA,NA
12:06,3,6,50,3,5,60,0,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,9,0,0,1,0,9,2,7.7,25.5,9,9,9,Nard John,N,Pinto,P,Nard John,N,Pinto,P,N. Pinto,1,G,17,0,N. Pinto,https://se-img.dcd-production.i.geniussports.com/5b1459519018073a28c5f7c5d557cd15T1.jpg,https://se-img.dcd-production.i.geniussports.com/5b1459519018073a28c5f7c5d557cd15S1.jpg,NA,1,NA,NA,NA,NA
7:20,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,-9,0,-2,-1,-2.5,-14,-4,-2,-2,Von,V,Pessumal,P,Von,V,Pessumal,P,V. Pessumal,0,F/G,19,0,V. Pessumal,https://se-img.dcd-production.i.geniussports.com/71ff15c748c2655014bc5478c5b23899T1.png,https://se-img.dcd-production.i.geniussports.com/71ff15c748c2655014bc5478c5b23899S1.png,NA,1,NA,NA,NA,NA
0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Raymond,R,Aguilar,A,Raymond,R,Aguilar,A,R. Aguilar,0,F,23,0,R. Aguilar,https://se-img.dcd-production.i.geniussports.com/4eecb5259dc22e08e16c82db7178df33T1.jpg,https://se-img.dcd-production.i.geniussports.com/4eecb5259dc22e08e16c82db7178df33S1.jpg,NA,1,NA,NA,NA,NA
0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jayson,J,David,D,Jayson,J,David,D,J. David,0,G,24,0,J. David,https://se-img.dcd-production.i.geniussports.com/aa245b1b410da964eeea5335f71082d0T1.jpg,https://se-img.dcd-production.i.geniussports.com/aa245b1b410da964eeea5335f71082d0S1.jpg,NA,1,NA,NA,NA,NA
21:02,4,8,50,0,0,0,4,8,50,0,0,0,1,1,2,2,2,1,0,0,3,0,8,0,4,-16,4,7,2,4.2,13,4,7,7,Japeth,J,Aguilar,A,Japeth,J,Aguilar,A,J. Aguilar,0,F,25,1,J. Aguilar,https://se-img.dcd-production.i.geniussports.com/006ec822693ce354acca0f1411f10505T1.jpg,https://se-img.dcd-production.i.geniussports.com/006ec822693ce354acca0f1411f10505S1.jpg,NA,1,NA,NA,NA,NA
0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sidney,S,Onwubere,O,Sidney,S,Onwubere,O,S. Onwubere,0,F,27,0,S. Onwubere,https://se-img.dcd-production.i.geniussports.com/085f0f1cd1a1dc5d40673cf3843791a3T1.jpg,https://se-img.dcd-production.i.geniussports.com/085f0f1cd1a1dc5d40673cf3843791a3S1.jpg,NA,1,NA,NA,NA,NA
15:57,0,4,0,0,1,0,0,3,0,0,0,0,2,2,4,0,0,0,1,0,2,1,0,0,0,-4,0,1,2,-0.9,-5,0,1,1,Aljon,A,Mariano,M,Aljon,A,Mariano,M,A. Mariano,1,F/G,31,0,A. Mariano,https://se-img.dcd-production.i.geniussports.com/3b4ae82206c806f281ad5d7374999859T1.jpg,https://se-img.dcd-production.i.geniussports.com/3b4ae82206c806f281ad5d7374999859S1.jpg,NA,1,NA,NA,NA,NA
44:46,7,25,28,1,10,10,6,15,40,5,7,71,11,5,16,5,1,0,0,0,1,5,20,4,0,-17,10,20,1,13.4,65.5,24,20,20,Justin,J,Brownlee,B,Justin,J,Brownlee,B,J. Brownlee,1,F/G,32,1,J. Brownlee,http://img.wh.sportingpulseinternational.com/a49220af7c6b3db63a6bcbfbd9b4eaa6T1.jpg,http://img.wh.sportingpulseinternational.com/a49220af7c6b3db63a6bcbfbd9b4eaa6S1.jpg,NA,1,NA,NA,NA,NA
20:16,4,10,40,0,0,0,4,10,40,1,4,25,5,2,7,1,0,0,0,0,2,2,9,2,0,-15,8,8,2,5.2,26,8,8,8,Christian,C,Standhardinger,S,Christian,C,Standhardinger,S,C. Standhardinger,0,C/F,34,0,C. Standhardinger,https://se-img.dcd-production.i.geniussports.com/bdfa69c510c102f507731612589d1ccdT1.jpg,https://se-img.dcd-production.i.geniussports.com/bdfa69c510c102f507731612589d1ccdS1.jpg,NA,1,NA,NA,NA,NA
