gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName
00:00,00:00:00,71,93,-22,0,4,REGULAR,0,,1,game,802,,,end,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA
00:00,00:00:00,71,93,-22,0,4,REGULAR,0,,1,period,801,,,end,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA
00:06,00:06:60,71,93,-22,2,4,REGULAR,0,,1,turnover,797,,,24sec,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA
00:32,00:32:90,71,93,-22,2,4,REGULAR,3,N. Torres,1,rebound,794,792,,defensive,0,29,Norbert,Torres,Norbert,Torres,N,T,N,T,N. Torres
00:32,00:32:90,71,93,-22,1,4,REGULAR,12,J. Malonzo,0,freethrow,792,,,2of2,1,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
00:32,00:32:90,71,93,-22,1,4,REGULAR,12,J. Malonzo,1,freethrow,791,,,1of2,1,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
00:32,00:32:90,70,93,-23,1,4,REGULAR,12,J. Malonzo,1,foulon,790,789,,,0,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
00:32,00:32:90,70,93,-23,2,4,REGULAR,15,J. Clarito,1,foul,789,,,personal,0,22,Jhonard,Clarito,Jhonard,Clarito,J,C,J,C,J. Clarito
00:35,00:35:40,70,93,-23,1,4,REGULAR,12,J. Malonzo,1,rebound,786,785,,defensive,0,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
00:37,00:37:70,70,93,-23,2,4,REGULAR,15,J. Clarito,0,3pt,785,,,jumpshot,1,22,Jhonard,Clarito,Jhonard,Clarito,J,C,J,C,J. Clarito
00:52,00:52:00,70,93,-23,1,4,REGULAR,1,L. Tenorio,1,assist,783,782,,,0,5,Lewis Alfred,Tenorio,Lewis Alfred,Tenorio,L,T,L,T,L. Tenorio
00:52,00:52:00,70,93,-23,1,4,REGULAR,5,N. Pinto,1,3pt,782,,,jumpshot,1,17,Nard John,Pinto,Nard John,Pinto,N,P,N,P,N. Pinto
01:05,01:05:00,67,93,-26,2,4,REGULAR,11,M. Nieto,1,assist,780,777,,,0,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
01:05,01:05:00,67,93,-26,2,4,REGULAR,14,S. Ildefonso,1,3pt,777,,,jumpshot,1,10,Shaun,Ildefonso,Shaun,Ildefonso,S,I,S,I,S. Ildefonso
01:18,01:18:00,67,90,-23,1,4,REGULAR,8,J. Brownlee,1,freethrow,775,,,2of2,1,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
01:18,01:18:00,66,90,-24,2,4,REGULAR,4,R. Nambatac,1,substitution,773,,,out,0,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac
01:18,01:18:00,66,90,-24,2,4,REGULAR,15,J. Clarito,1,substitution,774,,,in,0,22,Jhonard,Clarito,Jhonard,Clarito,J,C,J,C,J. Clarito
01:18,01:18:00,66,90,-24,1,4,REGULAR,8,J. Brownlee,1,freethrow,772,,,1of2,1,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
01:18,01:18:00,65,90,-25,1,4,REGULAR,8,J. Brownlee,1,foulon,771,770,,,0,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
01:18,01:18:00,65,90,-25,2,4,REGULAR,3,N. Torres,1,foul,770,,,personal,0,29,Norbert,Torres,Norbert,Torres,N,T,N,T,N. Torres
01:19,01:19:00,65,90,-25,1,4,REGULAR,8,J. Brownlee,1,rebound,768,765,,defensive,0,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
01:20,01:20:00,65,90,-25,2,4,REGULAR,14,S. Ildefonso,0,3pt,765,,,jumpshot,1,10,Shaun,Ildefonso,Shaun,Ildefonso,S,I,S,I,S. Ildefonso
01:33,01:33:00,65,90,-25,1,4,REGULAR,12,J. Malonzo,1,assist,763,761,,,0,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
01:33,01:33:00,65,90,-25,1,4,REGULAR,5,N. Pinto,1,3pt,761,,,jumpshot,1,17,Nard John,Pinto,Nard John,Pinto,N,P,N,P,N. Pinto
01:42,01:42:00,62,90,-28,1,4,REGULAR,1,L. Tenorio,1,rebound,760,759,,defensive,0,5,Lewis Alfred,Tenorio,Lewis Alfred,Tenorio,L,T,L,T,L. Tenorio
01:44,01:44:00,62,90,-28,2,4,REGULAR,11,M. Nieto,0,2pt,759,,,jumpshot,1,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
02:02,02:02:00,62,90,-28,2,4,REGULAR,14,S. Ildefonso,1,rebound,758,757,,defensive,0,10,Shaun,Ildefonso,Shaun,Ildefonso,S,I,S,I,S. Ildefonso
02:05,02:05:00,62,90,-28,1,4,REGULAR,8,J. Brownlee,0,3pt,757,,,jumpshot,1,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
02:10,02:10:00,62,90,-28,1,4,REGULAR,13,A. Mariano,1,rebound,756,755,,offensive,0,31,Aljon,Mariano,Aljon,Mariano,A,M,A,M,A. Mariano
02:12,02:12:00,62,90,-28,1,4,REGULAR,5,N. Pinto,0,3pt,755,,,jumpshot,1,17,Nard John,Pinto,Nard John,Pinto,N,P,N,P,N. Pinto
02:20,02:20:00,62,90,-28,1,4,REGULAR,12,J. Malonzo,1,rebound,754,753,,defensive,0,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
02:23,02:23:00,62,90,-28,2,4,REGULAR,11,M. Nieto,0,3pt,753,,,jumpshot,1,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
02:38,02:38:00,62,90,-28,1,4,REGULAR,8,J. Brownlee,1,2pt,752,,,layup,1,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
02:38,02:38:00,60,90,-30,1,4,REGULAR,8,J. Brownlee,1,rebound,751,750,,offensive,0,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
02:42,02:42:00,60,90,-30,1,4,REGULAR,13,A. Mariano,0,2pt,750,,,jumpshot,1,31,Aljon,Mariano,Aljon,Mariano,A,M,A,M,A. Mariano
02:56,02:56:00,60,90,-30,2,4,REGULAR,14,S. Ildefonso,1,assist,749,748,,,0,10,Shaun,Ildefonso,Shaun,Ildefonso,S,I,S,I,S. Ildefonso
02:56,02:56:00,60,90,-30,2,4,REGULAR,11,M. Nieto,1,3pt,748,,,jumpshot,1,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
03:17,03:17:00,60,87,-27,1,4,REGULAR,5,N. Pinto,1,assist,747,746,,,0,17,Nard John,Pinto,Nard John,Pinto,N,P,N,P,N. Pinto
03:17,03:17:00,60,87,-27,1,4,REGULAR,12,J. Malonzo,1,3pt,746,,,jumpshot,1,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
03:31,03:31:00,57,87,-30,1,4,REGULAR,0,,1,rebound,744,742,,defensive,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA
03:32,03:32:00,57,87,-30,2,4,REGULAR,11,M. Nieto,0,2pt,742,,,drivinglayup,1,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
03:36,03:36:00,57,87,-30,2,4,REGULAR,11,M. Nieto,1,rebound,741,740,,offensive,0,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
03:38,03:38:00,57,87,-30,2,4,REGULAR,14,S. Ildefonso,0,3pt,740,,,jumpshot,1,10,Shaun,Ildefonso,Shaun,Ildefonso,S,I,S,I,S. Ildefonso
03:57,03:57:00,57,87,-30,1,4,REGULAR,12,J. Malonzo,1,assist,739,738,,,0,3,Jamie,Malonzo,Jamie,Malonzo,J,M,J,M,J. Malonzo
03:57,03:57:00,57,87,-30,1,4,REGULAR,8,J. Brownlee,1,2pt,738,,,fadeaway,1,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
04:00,04:00:00,55,87,-32,2,4,REGULAR,16,S. Taylor Jr.,1,substitution,735,,,out,0,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
04:00,04:00:00,55,87,-32,2,4,REGULAR,12,B. Guinto,1,substitution,736,,,in,0,2,Bradwyn,Guinto,Bradwyn,Guinto,B,G,B,G,B. Guinto
04:00,04:00:00,55,87,-32,2,4,REGULAR,5,G. Norwood,1,substitution,733,,,out,0,5,Gabe,Norwood,Gabe,Norwood,G,N,G,N,G. Norwood
04:00,04:00:00,55,87,-32,2,4,REGULAR,14,S. Ildefonso,1,substitution,734,,,in,0,10,Shaun,Ildefonso,Shaun,Ildefonso,S,I,S,I,S. Ildefonso
04:00,04:00:00,55,87,-32,1,4,REGULAR,0,,1,rebound,732,730,,offensive,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA
04:01,04:01:00,55,87,-32,1,4,REGULAR,8,J. Brownlee,0,2pt,730,,,jumpshot,1,32,Justin,Brownlee,Justin,Brownlee,J,B,J,B,J. Brownlee
04:17,04:17:00,55,87,-32,2,4,REGULAR,4,R. Nambatac,1,assist,729,728,,,0,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac
04:17,04:17:00,55,87,-32,2,4,REGULAR,11,M. Nieto,1,3pt,728,,,jumpshot,1,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
