rowid,tno,pno,player,shirtNumber,gt,per,perType,subType,summary
1,1,2,J. Aguilar,25,11:26,1,REGULAR,pullupjumpshot,11 09 08 08
1,1,2,J. Aguilar,25,09:37,1,REGULAR,drivinglayup,11 09 08 08
1,1,2,J. Aguilar,25,08:05,1,REGULAR,jumpshot,11 09 08 08
1,1,2,J. Aguilar,25,08:14,3,REGULAR,dunk,11 09 08 08
2,1,4,S. Pringle,11,10:50,1,REGULAR,jumpshot,10 07 06 06
2,1,4,S. Pringle,11,07:21,1,REGULAR,turnaroundjumpshot,10 07 06 06
2,1,4,S. Pringle,11,06:59,3,REGULAR,drivinglayup,10 07 06 06
2,1,4,S. Pringle,11,06:57,3,REGULAR,,10 07 06 06
3,1,12,J. Malonzo,3,10:12,1,REGULAR,jumpshot,10 05 05 02 11 03 00
3,1,12,J. Malonzo,3,05:59,1,REGULAR,layup,10 05 05 02 11 03 00
3,1,12,J. Malonzo,3,05:32,1,REGULAR,drivinglayup,10 05 05 02 11 03 00
3,1,12,J. Malonzo,3,02:59,1,REGULAR,layup,10 05 05 02 11 03 00
3,1,12,J. Malonzo,3,11:37,3,REGULAR,dunk,10 05 05 02 11 03 00
3,1,12,J. Malonzo,3,03:17,4,REGULAR,jumpshot,10 05 05 02 11 03 00
3,1,12,J. Malonzo,3,00:32,4,REGULAR,,10 05 05 02 11 03 00
4,1,8,J. Brownlee,32,04:01,1,REGULAR,,04 01 06 11 10 10 04 02 03 02 01 01
4,1,8,J. Brownlee,32,01:22,1,REGULAR,,04 01 06 11 10 10 04 02 03 02 01 01
4,1,8,J. Brownlee,32,06:20,2,REGULAR,jumpshot,04 01 06 11 10 10 04 02 03 02 01 01
4,1,8,J. Brownlee,32,11:07,3,REGULAR,jumpshot,04 01 06 11 10 10 04 02 03 02 01 01
4,1,8,J. Brownlee,32,10:25,3,REGULAR,drivinglayup,04 01 06 11 10 10 04 02 03 02 01 01
4,1,8,J. Brownlee,32,10:25,3,REGULAR,,04 01 06 11 10 10 04 02 03 02 01 01
4,1,8,J. Brownlee,32,04:00,3,REGULAR,jumpshot,04 01 06 11 10 10 04 02 03 02 01 01
4,1,8,J. Brownlee,32,02:52,3,REGULAR,drivinglayup,04 01 06 11 10 10 04 02 03 02 01 01
4,1,8,J. Brownlee,32,03:57,4,REGULAR,fadeaway,04 01 06 11 10 10 04 02 03 02 01 01
4,1,8,J. Brownlee,32,02:38,4,REGULAR,layup,04 01 06 11 10 10 04 02 03 02 01 01
4,1,8,J. Brownlee,32,01:18,4,REGULAR,,04 01 06 11 10 10 04 02 03 02 01 01
4,1,8,J. Brownlee,32,01:18,4,REGULAR,,04 01 06 11 10 10 04 02 03 02 01 01
5,1,10,C. Standhardinger,34,00:16,1,REGULAR,drivinglayup,00 08 05 01 10
5,1,10,C. Standhardinger,34,08:47,2,REGULAR,drivinglayup,00 08 05 01 10
5,1,10,C. Standhardinger,34,05:21,3,REGULAR,layup,00 08 05 01 10
5,1,10,C. Standhardinger,34,01:43,3,REGULAR,layup,00 08 05 01 10
5,1,10,C. Standhardinger,34,10:25,4,REGULAR,,00 08 05 01 10
6,1,7,S. Thompson,9,00:58,2,REGULAR,,00
7,1,5,N. Pinto,17,09:11,4,REGULAR,jumpshot,09 01 00
7,1,5,N. Pinto,17,01:33,4,REGULAR,jumpshot,09 01 00
7,1,5,N. Pinto,17,00:52,4,REGULAR,jumpshot,09 01 00
8,1,1,L. Tenorio,5,08:16,4,REGULAR,floatingjumpshot,08
9,2,16,S. Taylor Jr.,23,11:35,1,REGULAR,,11 10 08 07 06 02 00 01 00 08
9,2,16,S. Taylor Jr.,23,10:32,1,REGULAR,drivinglayup,11 10 08 07 06 02 00 01 00 08
9,2,16,S. Taylor Jr.,23,08:27,1,REGULAR,jumpshot,11 10 08 07 06 02 00 01 00 08
9,2,16,S. Taylor Jr.,23,07:05,1,REGULAR,layup,11 10 08 07 06 02 00 01 00 08
9,2,16,S. Taylor Jr.,23,06:28,1,REGULAR,layup,11 10 08 07 06 02 00 01 00 08
9,2,16,S. Taylor Jr.,23,02:41,1,REGULAR,jumpshot,11 10 08 07 06 02 00 01 00 08
9,2,16,S. Taylor Jr.,23,00:02,1,REGULAR,jumpshot,11 10 08 07 06 02 00 01 00 08
9,2,16,S. Taylor Jr.,23,01:38,2,REGULAR,hookshot,11 10 08 07 06 02 00 01 00 08
9,2,16,S. Taylor Jr.,23,00:01,2,REGULAR,drivinglayup,11 10 08 07 06 02 00 01 00 08
9,2,16,S. Taylor Jr.,23,08:53,3,REGULAR,,11 10 08 07 06 02 00 01 00 08
10,2,5,G. Norwood,5,07:39,1,REGULAR,jumpshot,07
11,2,6,B. Belga,30,04:21,1,REGULAR,jumpshot,04 07 07
11,2,6,B. Belga,30,07:05,3,REGULAR,,04 07 07
11,2,6,B. Belga,30,07:05,3,REGULAR,,04 07 07
12,2,11,M. Nieto,7,01:41,1,REGULAR,jumpshot,01 01 04 02
12,2,11,M. Nieto,7,01:04,1,REGULAR,,01 01 04 02
12,2,11,M. Nieto,7,04:17,4,REGULAR,jumpshot,01 01 04 02
12,2,11,M. Nieto,7,02:56,4,REGULAR,jumpshot,01 01 04 02
13,2,9,A. Caracut,14,11:49,2,REGULAR,floatingjumpshot,11 09 08 06
13,2,9,A. Caracut,14,09:32,3,REGULAR,pullupjumpshot,11 09 08 06
13,2,9,A. Caracut,14,08:58,4,REGULAR,pullupjumpshot,11 09 08 06
13,2,9,A. Caracut,14,06:48,4,REGULAR,jumpshot,11 09 08 06
14,2,2,J. Ponferrada,15,09:53,2,REGULAR,,09 11
14,2,2,J. Ponferrada,15,11:25,4,REGULAR,jumpshot,09 11
15,2,10,L. Santillan,25,09:08,2,REGULAR,jumpshot,09 06 04 04 01 00 10
15,2,10,L. Santillan,25,06:57,2,REGULAR,jumpshot,09 06 04 04 01 00 10
15,2,10,L. Santillan,25,04:55,3,REGULAR,jumpshot,09 06 04 04 01 00 10
15,2,10,L. Santillan,25,04:10,3,REGULAR,,09 06 04 04 01 00 10
15,2,10,L. Santillan,25,01:02,3,REGULAR,drivinglayup,09 06 04 04 01 00 10
15,2,10,L. Santillan,25,00:27,3,REGULAR,floatingjumpshot,09 06 04 04 01 00 10
15,2,10,L. Santillan,25,10:07,4,REGULAR,layup,09 06 04 04 01 00 10
16,2,1,M. Borboran,16,07:33,2,REGULAR,pullupjumpshot,07
17,2,3,N. Torres,29,05:25,2,REGULAR,jumpshot,05 04 02
17,2,3,N. Torres,29,04:05,2,REGULAR,jumpshot,05 04 02
17,2,3,N. Torres,29,02:40,2,REGULAR,jumpshot,05 04 02
18,2,4,R. Nambatac,27,04:40,2,REGULAR,,04 05 05 06
18,2,4,R. Nambatac,27,05:55,3,REGULAR,,04 05 05 06
18,2,4,R. Nambatac,27,05:55,3,REGULAR,,04 05 05 06
18,2,4,R. Nambatac,27,06:00,4,REGULAR,drivinglayup,04 05 05 06
19,2,8,A. Asistio,8,03:23,2,REGULAR,jumpshot,03 02 02
19,2,8,A. Asistio,8,02:13,2,REGULAR,jumpshot,03 02 02
19,2,8,A. Asistio,8,02:42,3,REGULAR,jumpshot,03 02 02
20,2,14,S. Ildefonso,10,01:05,4,REGULAR,jumpshot,01
