r,x,y,p,pno,tno,per,perType,actionType,actionNumber,previousAction,subType,player,shirtNumber
1,76.519996643066,35.040000915527,2,2,1,1,REGULAR,2pt,16,,pullupjumpshot,J. Aguilar,25
1,74.959999084473,7.6399998664856,4,4,1,1,REGULAR,3pt,19,,jumpshot,S. Pringle,11
1,78.860000610352,75.709999084473,12,12,1,1,REGULAR,2pt,23,,jumpshot,J. Malonzo,3
1,94.769996643066,49.729999542236,2,2,1,1,REGULAR,2pt,34,,drivinglayup,J. Aguilar,25
0,69.349998474121,89.559997558594,8,8,1,1,REGULAR,3pt,48,,jumpshot,J. Brownlee,32
0,91.339996337891,85.879997253418,8,8,1,1,REGULAR,2pt,53,,jumpshot,J. Brownlee,32
1,78.23999786377,68.650001525879,2,2,1,1,REGULAR,2pt,57,,jumpshot,J. Aguilar,25
1,82.919998168945,64.410003662109,4,4,1,1,REGULAR,2pt,61,,turnaroundjumpshot,S. Pringle,11
0,83.540000915527,1.9900000095367,12,12,1,1,REGULAR,3pt,72,,jumpshot,J. Malonzo,3
0,96.650001525879,3.6800000667572,8,8,1,1,REGULAR,3pt,89,,jumpshot,J. Brownlee,32
0,95.23999786377,96.900001525879,7,7,1,1,REGULAR,3pt,91,,jumpshot,S. Thompson,9
1,94,50,12,12,1,1,REGULAR,2pt,93,,layup,J. Malonzo,3
1,94.769996643066,46.900001525879,12,12,1,1,REGULAR,2pt,96,,drivinglayup,J. Malonzo,3
0,82.610000610352,58.479999542236,8,8,1,1,REGULAR,2pt,100,,pullupjumpshot,J. Brownlee,32
0,95.089996337891,41.529998779297,10,10,1,1,REGULAR,2pt,143,,layup,C. Standhardinger,34
0,92.430000305176,46.340000152588,10,10,1,1,REGULAR,2pt,145,,layup,C. Standhardinger,34
1,94.309997558594,50.860000610352,12,12,1,1,REGULAR,2pt,147,,layup,J. Malonzo,3
0,63.729999542236,37.009998321533,9,9,1,1,REGULAR,3pt,156,,jumpshot,V. Pessumal,19
0,77.459999084473,88.709999084473,9,9,1,1,REGULAR,3pt,182,,jumpshot,V. Pessumal,19
0,81.199996948242,94.080001831055,1,1,1,1,REGULAR,3pt,195,,jumpshot,L. Tenorio,5
1,93.839996337891,44.080001831055,10,10,1,1,REGULAR,2pt,198,,drivinglayup,C. Standhardinger,34
0,33,22.610000610352,1,1,1,1,REGULAR,3pt,205,,pullupjumpshot,L. Tenorio,5
0,85.730003356934,74.300003051758,8,8,1,2,REGULAR,2pt,214,,jumpshot,J. Brownlee,32
0,94.769996643066,41.25,13,13,1,2,REGULAR,2pt,216,,drivinglayup,A. Mariano,31
0,93.370002746582,56.220001220703,8,8,1,2,REGULAR,2pt,223,,floatingjumpshot,J. Brownlee,32
0,94.309997558594,47.180000305176,10,10,1,2,REGULAR,2pt,227,,layup,C. Standhardinger,34
0,93.839996337891,46.900001525879,10,10,1,2,REGULAR,2pt,238,,layup,C. Standhardinger,34
1,95.23999786377,50.290000915527,10,10,1,2,REGULAR,2pt,257,,drivinglayup,C. Standhardinger,34
0,70.129997253418,75.150001525879,1,1,1,2,REGULAR,3pt,261,,jumpshot,L. Tenorio,5
0,94.769996643066,46.049999237061,7,7,1,2,REGULAR,2pt,280,,drivinglayup,S. Thompson,9
1,78.389999389648,49.159999847412,8,8,1,2,REGULAR,2pt,298,,jumpshot,J. Brownlee,32
0,89.160003662109,42.659999847412,8,8,1,2,REGULAR,2pt,306,,floatingjumpshot,J. Brownlee,32
0,79.169998168945,44.639999389648,8,8,1,2,REGULAR,2pt,313,,jumpshot,J. Brownlee,32
0,65.129997253418,55.380001068115,8,8,1,2,REGULAR,3pt,331,,jumpshot,J. Brownlee,32
0,94,50,2,2,1,2,REGULAR,2pt,333,,layup,J. Aguilar,25
0,74.48999786377,85.040000915527,4,4,1,2,REGULAR,3pt,341,,jumpshot,S. Pringle,11
0,70.129997253418,21.760000228882,12,12,1,2,REGULAR,3pt,343,,jumpshot,J. Malonzo,3
0,73.559997558594,46.619998931885,2,2,1,2,REGULAR,2pt,355,,jumpshot,J. Aguilar,25
0,93.370002746582,50.290000915527,12,12,1,2,REGULAR,2pt,359,,drivinglayup,J. Malonzo,3
0,86.660003662109,2.8299999237061,7,7,1,2,REGULAR,3pt,362,,jumpshot,S. Thompson,9
0,73.089996337891,81.650001525879,8,8,1,2,REGULAR,3pt,368,,jumpshot,J. Brownlee,32
